baseline_noc,scaled_layer,bw_multiplier,bs,seq,orig_sm_count,baseline_sm_count,tp,ep,dp,pp,sp,cp,stps_logic_die,stps_noc_to_dram,orig_stps_from_csv,recon_rel_err
torus_mesh_mesh_3,L2,2.0,256,8192,6,8,2,32,4,1,1,1,84109.59011233438,113180.04507108974,82829.88686803161,0.01544977655639749
torus_mesh_mesh_3,L2,3.0,64,1024,5,8,2,16,1,4,2,1,105719.23855130613,169076.2964881729,105719.23855130612,1.3764680324768637e-16
torus_mesh_mesh_3,L2,2.0,1024,1024,6,8,1,64,1,4,1,1,142295.78931207908,191052.4076448931,142295.78931207908,0.0
torus_mesh_mesh_3,L2,0.25,4,1024,9,8,32,2,1,2,2,1,65658.49060058477,59241.18349824044,65658.49060058477,0.0
torus_mesh_mesh_3,L1,4.0,4,8192,7,8,32,2,1,2,1,2,68812.64947663857,79575.22328014912,68812.64947663857,0.0
torus_mesh_mesh_3,L2,1.0,1,1024,8,8,64,4,1,1,1,1,14146.655811178822,14146.655811178822,14146.655811178822,0.0
torus_mesh_mesh_3,L2,1.0,16,1024,8,8,8,8,1,2,2,1,147734.66201133482,147734.66201133482,147734.66201133482,0.0
torus_mesh_mesh_3,L2,1.0,16,8192,8,8,8,8,1,2,2,1,102197.78236513962,102197.78236513962,102197.78236513962,0.0
torus_mesh_mesh_3,L2,0.25,4,8192,9,8,32,2,1,2,1,2,68836.55692920307,63935.42615212957,68836.55692920307,0.0
torus_mesh_mesh_3,L2,3.0,256,1024,5,8,1,64,1,4,1,1,115411.50054395883,188585.4767902949,115411.50054395884,1.260872197292349e-16
torus_mesh_mesh_3,L2,0.5,16,8192,9,8,8,8,1,2,2,1,112496.36924794447,101561.05090317984,112496.36924794449,1.2935453228978535e-16
torus_mesh_mesh_3,L2,3.0,256,8192,5,8,2,32,4,1,1,1,70241.12600323455,113180.04507108974,69669.56320410939,0.008203909610437174
torus_mesh_mesh_3,L2,2.0,64,8192,6,8,2,16,1,4,2,1,77563.98674532051,103566.87841848609,77563.98674532051,0.0
torus_mesh_mesh_3,L2,3.0,1024,1024,5,8,1,64,1,4,1,1,117142.6233035815,191052.4076448931,117142.6233035815,0.0
torus_mesh_mesh_3,L2,1.5,1,1024,7,8,64,4,1,1,1,1,12973.934442643891,14270.212879040015,12973.934442643893,1.4020337559029424e-16
torus_mesh_mesh_3,L2,4.0,64,1024,3,8,2,16,1,4,2,1,67333.37101790264,169076.2964881729,67333.37101790264,0.0
torus_mesh_mesh_3,L2,0.5,4,1024,9,8,32,2,1,2,2,1,73016.53211255808,65166.30048041367,73016.53211255808,0.0
torus_mesh_mesh_3,L2,1.5,16,1024,7,8,8,8,1,2,2,1,125783.72192376373,147771.9461845896,125783.72192376372,1.1568997168955317e-16
torus_mesh_mesh_3,L2,1.5,16,8192,7,8,8,8,1,2,2,1,86973.9593162059,102200.01789358277,86973.9593162059,0.0
torus_mesh_mesh_3,L2,3.0,64,8192,5,8,2,16,1,4,2,1,64335.01260752144,103566.87841848609,64335.01260752144,0.0
torus_mesh_mesh_3,L2,4.0,256,8192,3,8,1,32,8,1,1,1,42783.80164832899,114310.67604409494,42783.80164832899,0.0
torus_mesh_mesh_3,L2,4.0,256,1024,3,8,1,64,1,4,1,1,71495.20629390568,188585.4767902949,71495.20629390568,0.0
torus_mesh_mesh_3,L2,0.5,4,8192,9,8,32,2,1,2,1,2,78566.65725379014,72090.28853210784,78566.65725379014,0.0
torus_mesh_mesh_3,L2,2.0,1,1024,6,8,64,4,1,1,1,1,12960.979006958827,14270.212879040015,12960.979006958829,1.4034351900186165e-16
torus_mesh_mesh_3,L3,0.25,256,8192,9,8,1,32,2,4,1,1,111089.18056830826,113180.04507108974,111089.18056830826,0.0
torus_mesh_mesh_3,L2,2.0,16,1024,6,8,8,8,1,2,2,1,118283.71770836666,147771.9461845896,118283.71770836666,0.0
torus_mesh_mesh_3,L2,4.0,64,8192,3,8,2,16,1,4,2,1,39424.74660221994,103566.87841848609,39424.74660221994,0.0
torus_mesh_mesh_3,L2,1.0,4,1024,8,8,32,2,1,2,2,1,68081.68919541845,68081.68919541845,68081.68919541845,0.0
torus_mesh_mesh_3,L2,2.0,16,8192,6,8,8,8,1,2,2,1,75944.43898468558,102200.01789358277,75944.43898468558,0.0
torus_mesh_mesh_3,L3,0.25,1024,1024,9,8,1,64,1,4,1,1,187153.82340566412,172187.99186830138,187153.8234056641,1.555075388102004e-16
torus_mesh_mesh_3,L3,0.25,64,8192,9,8,8,8,2,2,1,1,115049.06654441387,103566.29798339856,115049.06654441389,1.264844267358674e-16
torus_mesh_mesh_3,L2,4.0,1024,1024,3,8,2,32,4,1,1,1,75274.75426838454,203924.94730212068,73249.13178072545,0.027653877096084595
torus_mesh_mesh_3,L2,1.5,4,1024,7,8,32,2,1,2,1,2,61565.205706919456,68455.00560947607,61565.205706919456,0.0
torus_mesh_mesh_3,L3,0.5,256,1024,8,8,1,64,1,4,1,1,182023.970398529,182023.970398529,182023.970398529,0.0
torus_mesh_mesh_3,L2,1.0,4,8192,8,8,32,2,1,2,2,1,76690.11470770676,76690.11470770676,76690.11470770676,0.0
torus_mesh_mesh_3,L2,3.0,1,1024,5,8,64,4,1,1,1,1,11597.784801512615,14270.212879040015,11597.784801512616,1.5683938223346053e-16
torus_mesh_mesh_3,L2,3.0,16,1024,5,8,8,8,1,2,2,1,94461.80555177067,147771.9461845896,94461.80555177068,1.5405078426530326e-16
torus_mesh_mesh_3,L2,3.0,16,8192,5,8,8,8,1,2,2,1,62714.89156040966,102200.01789358277,62714.89156040966,0.0
torus_mesh_mesh_3,L3,0.5,1024,1024,8,8,1,64,1,4,1,1,184321.1768940676,184321.1768940676,184321.1768940676,0.0
torus_mesh_mesh_3,L3,0.5,64,8192,8,8,8,8,2,2,1,1,103566.29798339856,103566.29798339856,103566.29798339856,0.0
torus_mesh_mesh_3,L3,0.25,64,1024,9,8,8,8,2,2,1,1,182330.86788103118,167150.3264809037,182330.8678810312,1.5962097254823368e-16
torus_mesh_mesh_3,L2,1.5,4,8192,7,8,32,2,1,2,1,2,67256.02023830492,77163.27465092491,67256.02023830492,0.0
torus_mesh_mesh_3,L3,1.0,64,1024,8,8,2,16,1,4,2,1,169076.2964881729,169076.2964881729,169076.2964881729,0.0
torus_mesh_mesh_3,L2,4.0,16,1024,3,8,8,8,1,2,2,1,61561.32137637808,147771.9461845896,61561.32137637808,0.0
torus_mesh_mesh_3,L2,4.0,1,1024,3,8,64,4,1,1,1,1,8642.256529349925,14270.212879040015,8642.256529349925,0.0
torus_mesh_mesh_3,L3,0.25,256,1024,9,8,8,8,2,2,1,1,192244.32197063408,176280.32395932433,192244.32197063408,0.0
torus_mesh_mesh_3,L3,0.5,256,8192,8,8,1,32,2,4,1,1,104733.4042477615,113180.04507108974,104733.4042477615,0.0
torus_mesh_mesh_3,L2,4.0,16,8192,3,8,8,8,1,2,2,1,38463.405562266285,102200.01789358277,38463.405562266285,0.0
torus_mesh_mesh_3,L3,0.5,64,1024,8,8,8,8,2,2,1,1,167150.3264809037,167150.3264809037,167150.3264809037,0.0
torus_mesh_mesh_3,L2,2.0,4,1024,6,8,32,2,1,2,2,1,57872.204294613875,68455.00560947607,57872.20429461388,1.257245633351587e-16
torus_mesh_mesh_3,L3,1.0,256,1024,8,8,1,64,1,4,1,1,188585.4767902949,188585.4767902949,188585.4767902949,0.0
torus_mesh_mesh_3,L3,1.0,1024,1024,8,8,1,64,1,4,1,1,191052.4076448931,191052.4076448931,191052.4076448931,0.0
torus_mesh_mesh_3,L3,1.0,256,8192,8,8,2,32,4,1,1,1,113180.04507108974,113180.04507108974,108284.17367516144,0.04521317594032982
torus_mesh_mesh_3,L3,1.0,64,8192,8,8,8,8,2,2,1,1,103566.29798339856,103566.29798339856,103566.29798339856,0.0
torus_mesh_mesh_3,L3,0.25,1,1024,9,8,64,4,1,1,1,1,8515.780182733537,8197.376805778995,8515.780182733537,0.0
torus_mesh_mesh_3,L3,1.5,64,1024,7,8,2,16,1,4,2,1,147649.49754884606,172799.35895651302,147649.49754884606,0.0
torus_mesh_mesh_3,L3,0.25,16,8192,9,8,8,8,1,2,2,1,113354.55865247358,102197.78236513962,113354.55865247358,0.0
torus_mesh_mesh_3,L3,0.25,16,1024,9,8,8,8,1,2,2,1,167580.6247532673,147734.66201133482,167580.6247532673,0.0
