baseline_noc,scaled_layer,bw_multiplier,bs,orig_sm_count,baseline_sm_count,tp,ep,dp,pp,stps_logic_die,stps_noc_to_dram,orig_stps_from_csv
torus_mesh_switch_1,L1,1.5,1,8,8,16,16,1,1,76.3387026536476,76.3387026536476,76.3387026536476
torus_mesh_switch_1,L1,1.0,64,8,8,16,16,1,1,5086.777173475199,5086.777173475199,5086.777173475199
torus_mesh_mesh_3,L3,4.0,256,5,8,8,16,1,2,8446.503134660445,11353.460674378855,8446.503134660445
torus_mesh_mesh_3,L3,1.5,1024,7,8,4,32,1,2,32732.685843781914,34774.48277398248,32732.68584378192
torus_mesh_switch_1,L1,0.5,1024,8,8,4,32,1,2,38034.65207152551,38034.65207152551,38034.65207152551
torus_mesh_mesh_3,L2,1.5,4,7,8,32,8,1,1,286.5954422569396,297.6163806642575,286.5954422569396
torus_mesh_switch_1,L1,0.25,16,8,8,32,8,1,1,1315.510217097217,1315.510217097217,1315.510217097217
torus_mesh_mesh_3,L3,3.0,4096,6,8,1,32,1,8,39342.23882904627,52838.47983012478,39342.23882904627
torus_mesh_mesh_3,L3,3.0,64,6,8,16,16,1,1,4361.074953852556,4812.641512734235,4361.074953852556
torus_mesh_mesh_3,L3,0.25,1,9,8,32,8,1,1,76.58759014833018,74.81417844793617,76.58759014833018
torus_mesh_switch_1,L1,1.5,256,8,8,8,16,1,2,11500.639789967707,11500.639789967707,11500.639789967709
torus_mesh_mesh_3,L3,0.25,4,9,8,32,8,1,1,297.0331017024326,290.35974337393407,297.0331017024326
torus_mesh_switch_1,L1,1.5,64,8,8,16,16,1,1,5087.224671699267,5087.224671699267,5087.224671699267
torus_mesh_mesh_3,L3,0.25,16,9,8,32,8,1,1,1153.186394710753,1199.9987672377506,1153.186394710753
torus_mesh_switch_1,L1,1.0,1024,8,8,4,32,1,2,38061.037122151036,38061.037122151036,38061.03712215104
torus_mesh_switch_1,L1,1.5,4096,8,8,1,32,1,8,50140.90563323316,50140.90563323316,50140.90563323316
torus_mesh_switch_1,L1,0.5,16,8,8,32,8,1,1,1317.0534762071784,1317.0534762071784,1317.0534762071784
torus_mesh_mesh_3,L3,0.25,1024,9,8,4,16,1,4,29844.95228657828,28135.531692940225,29844.95228657828
torus_mesh_switch_1,L1,2.0,1,8,8,16,16,1,1,76.34084579899911,76.34084579899911,76.34084579899911
torus_mesh_mesh_3,L3,0.5,1,8,8,32,8,1,1,75.0632259105192,75.0632259105192,75.0632259105192
torus_mesh_switch_1,L1,2.0,4096,8,8,1,32,1,8,50140.90563323316,50140.90563323316,50140.90563323316
torus_mesh_switch_1,L1,2.0,64,8,8,16,16,1,1,5087.44845034331,5087.44845034331,5087.44845034331
torus_mesh_switch_1,L1,3.0,1,7,8,16,16,1,1,73.0149556987779,76.34298906469273,73.0149556987779
torus_mesh_mesh_3,L3,0.5,1024,8,8,4,16,1,4,29401.421445095642,29401.421445095642,29401.42144509564
torus_mesh_mesh_3,L3,0.5,4,8,8,32,8,1,1,295.10981659520735,295.10981659520735,295.1098165952073
torus_mesh_switch_1,L1,1.0,16,8,8,32,8,1,1,1317.826464448199,1317.826464448199,1317.826464448199
torus_mesh_mesh_3,L3,4.0,64,5,8,16,16,1,1,3620.253345907207,4813.979482566201,3620.253345907207
torus_mesh_mesh_3,L3,0.5,16,8,8,32,8,1,1,1254.2304623960317,1254.2304623960317,1254.2304623960315
torus_mesh_switch_1,L1,3.0,256,7,8,8,16,1,2,11036.417619120357,11502.572555553437,11036.417619120357
torus_mesh_switch_1,L1,1.5,1024,8,8,4,32,1,2,38105.00709125261,38105.00709125261,38105.00709125261
torus_mesh_mesh_3,L3,1.0,1,8,8,32,8,1,1,75.18837248889557,75.18837248889557,75.18837248889557
torus_mesh_mesh_3,L3,1.0,4,8,8,32,8,1,1,297.5436168175524,297.5436168175524,297.5436168175524
torus_mesh_switch_1,L1,3.0,64,7,8,16,16,1,1,4726.932461262726,5087.672248678823,4726.932461262726
torus_mesh_switch_1,L1,3.0,4096,7,8,1,32,1,8,43592.86430795441,50140.90563323316,43592.86430795441
torus_mesh_switch_1,L1,4.0,256,7,8,8,16,1,2,11036.862582173857,11503.055848484859,11036.862582173855
torus_mesh_switch_1,L1,4.0,1,7,8,16,16,1,1,73.0159359722325,76.34406074267099,73.0159359722325
torus_mesh_switch_1,L1,2.0,1024,8,8,4,32,1,2,38111.07121295959,38111.07121295959,38111.07121295959
torus_mesh_mesh_3,L3,1.5,1,7,8,32,8,1,1,72.08022127576736,75.23018080178717,72.08022127576736
torus_mesh_switch_1,L1,4.0,4096,7,8,1,32,1,8,43592.86430795441,50140.90563323316,43592.86430795441
torus_mesh_switch_1,L1,4.0,64,7,8,16,16,1,1,4727.029074925719,5087.784155231693,4727.029074925719
torus_mesh_switch_1,L1,1.5,16,8,8,32,8,1,1,1318.0843288759283,1318.0843288759283,1318.0843288759283
