candidate_id,phase,model,bs,tier,tier_order,arch,noc,minibatch,seq,cached_kv,tp,ep,ep1,ep2,sp,cp,dp,fsdp,pp,tp_transform_moe,max_activation_gib,mem_weight_gib,kv_cache_gib,paper_utps,paper_stps,source_stats_run_id,source_candidate_count,source_tie_count,runner_up_gap_pct,kv_len_1,kv_len_2,kv_len_3,kv_len_4
decode_qwen_bs512_astra_space,decode,Qwen3_235b_a22b,512,astra_space,1,stacked_gpu_wgmma,torus_mesh_switch_1,128,1,,16,1,1,1,1,1,4,False,4,none,0.008087158203125,7.09770202636719,0.734375,20.6165594019353,10555.6784137909,Qwen3_235b_a22b_stacked_gpu_wgmma_torus_mesh_switch_1_4e34ad4b45,23,1,1.80150410035228,1024,1365,1707,2048
decode_qwen_bs512_expanded_parallel,decode,Qwen3_235b_a22b,512,expanded_parallel,2,stacked_gpu_wgmma,torus_mesh_switch_1,256,1,,2,64,64,1,1,1,1,False,2,none,0.00787353515625,4.94505310058594,0.734375,36.3373012712108,18604.6982508599,Qwen3_235b_a22b_stacked_gpu_wgmma_torus_mesh_switch_1_524e50a7b0,392,1,7.66666314666501,1024,1365,1707,2048
decode_qwen_bs512_module_flexible,decode,Qwen3_235b_a22b,512,module_flexible,3,stacked_gpu_wgmma,torus_mesh_switch_1,256,1,,8,16,16,1,1,1,1,False,2,replace_only,0.007965087890625,2.60369491577148,0.734375,46.7015821031886,23911.2100368325,Qwen3_235b_a22b_stacked_gpu_wgmma_torus_mesh_switch_1_be9a2e87a2,784,1,1.32917189307646,1024,1365,1707,2048
decode_qwen_bs1024_astra_space,decode,Qwen3_235b_a22b,1024,astra_space,1,stacked_gpu_wgmma,torus_mesh_switch_1,128,1,,16,1,1,1,1,1,2,False,8,none,0.01617431640625,3.61135101318359,1.46875,14.6806374961586,15032.9727960664,Qwen3_235b_a22b_stacked_gpu_wgmma_torus_mesh_switch_1_484789ef46,17,1,0.018547771202948,1024,1365,1707,2048
decode_qwen_bs1024_expanded_parallel,decode,Qwen3_235b_a22b,1024,expanded_parallel,2,stacked_gpu_wgmma,torus_mesh_switch_1,512,1,,2,64,64,1,1,1,1,False,2,none,0.0157470703125,4.94505310058594,1.46875,27.9581316318297,28629.1267909936,Qwen3_235b_a22b_stacked_gpu_wgmma_torus_mesh_switch_1_bbc1a3c1c6,306,1,10.3595769602316,1024,1365,1707,2048
decode_qwen_bs1024_module_flexible,decode,Qwen3_235b_a22b,1024,module_flexible,3,stacked_gpu_wgmma,torus_mesh_switch_1,512,1,,4,32,32,1,1,1,1,False,2,replace_only,0.01580810546875,3.38414764404297,1.46875,33.9183207307615,34732.3604282998,Qwen3_235b_a22b_stacked_gpu_wgmma_torus_mesh_switch_1_e8a38e0472,612,1,1.7102517943317,1024,1365,1707,2048
prefill_deepseek_bs1_astra_space,prefill,DeepSeekV3,1,astra_space,1,stacked_gpu_wgmma,torus_mesh_switch_1,1,1024,1024,256,1,1,1,1,1,1,False,1,none,0.0295486450195312,3.77974247932434,6.54458999633789e-05,2664.42856552344,2664.42856552344,DeepSeekV3_stacked_gpu_wgmma_torus_mesh_switch_1_84e3ed977b,1,1,,,,,
prefill_deepseek_bs1_expanded_parallel,prefill,DeepSeekV3,1,expanded_parallel,2,stacked_gpu_wgmma,torus_mesh_switch_1,1,1024,1024,8,16,1,16,2,1,1,False,1,none,0.0145263671875,7.82862377166748,6.54458999633789e-05,10704.1250617901,10704.1250617901,DeepSeekV3_stacked_gpu_wgmma_torus_mesh_switch_1_bdfb4ec1c1,17,1,0.474670326324989,,,,
prefill_deepseek_bs1_module_flexible,prefill,DeepSeekV3,1,module_flexible,3,stacked_gpu_wgmma,torus_mesh_switch_1,1,1024,1024,16,16,1,16,1,1,1,False,1,replace_only,0.033447265625,6.81042242050171,6.54458999633789e-05,13114.5145611301,13114.5145611301,DeepSeekV3_stacked_gpu_wgmma_torus_mesh_switch_1_61dcd5322a,23,1,0.123214636702251,,,,
prefill_deepseek_bs4_astra_space,prefill,DeepSeekV3,4,astra_space,1,stacked_gpu_wgmma,torus_mesh_switch_1,2,1024,1024,64,1,1,1,1,1,2,False,2,none,0.035430908203125,5.58275806903839,6.54458999633789e-05,2516.9268137018,10067.7072548072,DeepSeekV3_stacked_gpu_wgmma_torus_mesh_switch_1_8a931615e2,5,1,3.1308216602143,,,,
prefill_deepseek_bs4_expanded_parallel,prefill,DeepSeekV3,4,expanded_parallel,2,stacked_gpu_wgmma,torus_mesh_switch_1,1,1024,1024,8,4,1,4,2,1,1,False,4,none,0.0145263671875,5.78938293457031,6.54458999633789e-05,6872.45298867498,27489.8119546999,DeepSeekV3_stacked_gpu_wgmma_torus_mesh_switch_1_110d18fe52,121,1,0.320240446031661,,,,
